"location.id","location.region","date","jsa.fem"
"1-2460925932","East of England","2016-02-11",5
"1-2460925932","East of England",NA,5
"1-2460925932","East of England",NA,5
"1-106693743","East of England","2010-10-01",15
"1-106693743","East of England","2011-01-24",15
"1-106693743","East of England",NA,15
"1-106693743","East of England",NA,15
"1-727649541","East of England","2013-05-16",15
"1-727649541","East of England","2013-05-16",15
"1-727649541","East of England",NA,15
"1-727649541","East of England",NA,15
"1-118532782","East of England","2010-10-01",5
"1-118532782","East of England","2011-01-06",5
"1-118532782","East of England",NA,5
"1-118532782","East of England",NA,5
"1-126470072","East of England","2010-10-01",15
"1-126470072","East of England","2011-01-10",15
"1-126470072","East of England","2015-01-02",15
"1-126470072","East of England",NA,15
"1-111988217","East of England","2010-10-01",25
"1-111988217","East of England","2010-11-26",25
"1-111988217","East of England",NA,25
"1-111988217","East of England",NA,25
"1-123423949","East of England","2010-10-01",5
"1-123423949","East of England","2011-03-21",5
"1-123423949","East of England","2014-05-16",5
"1-123423949","East of England",NA,5
"1-118532862","East of England","2010-10-01",30
"1-118532862","East of England","2011-01-06",30
"1-118532862","East of England","2012-09-27",30
"1-118532862","East of England",NA,30
"1-124120129","East of England","2010-10-01",45
"1-124120129","East of England","2010-12-30",45
"1-124120129","East of England",NA,45
"1-124120129","East of England",NA,45
"1-125573710","East of England","2010-10-01",15
"1-125573710","East of England","2010-12-16",15
"1-125573710","East of England",NA,15
"1-125573710","East of England",NA,15
"1-124641265","East of England","2010-10-01",10
"1-124641265","East of England","2010-11-12",10
"1-124641265","East of England","2014-08-08",10
"1-124641265","East of England",NA,10
"1-1548075866","East of England","2010-10-01",10
"1-1548075866","East of England","2014-08-08",10
"1-1548075866","East of England","2016-06-02",10
"1-1548075866","East of England",NA,10
"1-119126184","East of England","2010-10-01",10
"1-119126184","East of England","2011-03-23",10
"1-119126184","East of England",NA,10
"1-119126184","East of England",NA,10
"1-115998368","East of England","2010-10-01",15
"1-115998368","East of England","2011-01-18",15
"1-115998368","East of England",NA,15
"1-115998368","East of England",NA,15
"1-144683081","East of England","2010-10-01",35
"1-144683081","East of England","2010-12-06",35
"1-144683081","East of England","2012-02-08",35
"1-144683081","East of England","2012-02-22",35
"1-353888310","East of England","2012-01-04",35
"1-353888310","East of England","2012-01-04",35
"1-353888310","East of England","2016-01-07",35
"1-353888310","East of England",NA,35
"1-145991918","East of England","2011-01-10",25
"1-145991918","East of England","2011-01-10",25
"1-145991918","East of England",NA,25
"1-145991918","East of England",NA,25
"1-119129442","East of England","2010-10-01",15
"1-119129442","East of England","2011-03-23",15
"1-119129442","East of England",NA,15
"1-119129442","East of England",NA,15
"1-126102808","East of England","2010-10-01",20
"1-126102808","East of England","2011-01-24",20
"1-126102808","East of England",NA,20
"1-126102808","East of England",NA,20
"1-125573771","East of England","2010-10-01",15
"1-125573771","East of England","2010-12-16",15
"1-125573771","East of England",NA,15
"1-125573771","East of England",NA,15
"1-118600218","East of England","2010-10-01",5
"1-118600218","East of England","2011-01-10",5
"1-118600218","East of England",NA,5
"1-118600218","East of England",NA,5
"1-120269173","East of England","2010-10-01",5
"1-120269173","East of England","2010-12-17",5
"1-120269173","East of England",NA,5
"1-120269173","East of England",NA,5
"1-124569170","East of England","2010-10-01",5
"1-124569170","East of England","2011-01-27",5
"1-124569170","East of England","2012-10-29",5
"1-124569170","East of England",NA,5
"1-482852671","East of England","2012-09-28",5
"1-482852671","East of England","2012-09-28",5
"1-482852671","East of England",NA,5
"1-482852671","East of England",NA,5
"1-118569462","East of England","2010-10-01",10
"1-118569462","East of England","2011-01-06",10
"1-118569462","East of England",NA,10
"1-118569462","East of England",NA,10
"1-124569246","East of England","2010-10-01",5
"1-124569246","East of England","2011-01-27",5
"1-124569246","East of England",NA,5
"1-124569246","East of England",NA,5
"1-126434218","East of England","2010-10-01",10
"1-126434218","East of England","2010-11-15",10
"1-126434218","East of England",NA,10
"1-126434218","East of England",NA,10
